p,median best k,mean best k,min best k,max best k
0.01,0.64,0.58,0.34,0.73
0.02,0.52,0.52,0.49,0.55
0.03,0.56,0.56,0.53,0.58
0.04,0.97,0.97,0.96,0.97
0.05,0.69,0.69,0.66,0.71
0.06,0.99,0.99,0.99,0.99
0.07,0.80,0.80,0.80,0.80
0.08,0.62,0.62,0.61,0.63
0.09,0.46,0.46,0.45,0.47
0.10,0.37,0.37,0.36,0.37
0.11,0.30,0.30,0.29,0.30
0.12,0.22,0.22,0.22,0.22
0.13,0.54,0.54,0.52,0.56
0.14,0.47,0.47,0.43,0.50
0.15,0.67,0.67,0.67,0.67
0.16,0.92,0.91,0.89,0.93
0.17,0.55,0.55,0.54,0.55
0.18,0.75,0.75,0.73,0.76
0.19,0.42,0.42,0.41,0.43
0.20,0.62,0.62,0.60,0.63
0.21,0.55,0.55,0.53,0.57
0.22,0.51,0.51,0.48,0.53
0.23,0.44,0.44,0.43,0.46
0.24,0.72,0.72,0.72,0.72
0.25,0.37,0.37,0.33,0.40
0.26,0.33,0.33,0.31,0.36
0.27,0.31,0.31,0.28,0.33
0.28,0.27,0.27,0.25,0.29
0.29,0.24,0.24,0.22,0.26
0.30,0.22,0.22,0.20,0.23
0.31,0.20,0.20,0.19,0.21
0.32,0.17,0.17,0.15,0.18
0.33,0.38,0.38,0.38,0.38
0.34,0.37,0.37,0.37,0.37
0.35,0.34,0.34,0.34,0.34
0.36,0.31,0.31,0.31,0.31
0.37,0.50,0.50,0.50,0.50
0.38,0.47,0.47,0.47,0.47
0.39,0.26,0.26,0.26,0.26
0.40,0.42,0.42,0.42,0.42
0.41,0.22,0.22,0.22,0.22
0.42,0.46,0.46,0.45,0.46
0.43,0.19,0.19,0.19,0.19
0.44,0.34,0.34,0.34,0.34
0.45,0.32,0.32,0.32,0.32
0.46,0.47,0.47,0.47,0.47
0.47,0.27,0.27,0.27,0.27
0.48,0.45,0.45,0.45,0.45
0.49,0.33,0.33,0.31,0.35
0.50,0.42,0.42,0.42,0.42
0.51,0.30,0.30,0.28,0.32
0.52,0.29,0.29,0.27,0.30
0.53,0.28,0.28,0.27,0.29
0.54,0.26,0.26,0.25,0.27
0.55,0.35,0.35,0.35,0.35
0.56,0.24,0.24,0.23,0.24
0.57,0.44,0.44,0.41,0.46
0.58,0.42,0.42,0.40,0.44
0.59,0.42,0.42,0.39,0.44
0.60,0.40,0.40,0.38,0.42
0.61,0.40,0.40,0.37,0.42
0.62,0.38,0.38,0.35,0.40
0.63,0.37,0.37,0.35,0.39
0.64,0.36,0.36,0.33,0.38
0.65,0.35,0.35,0.33,0.38
0.66,0.34,0.34,0.32,0.36
0.67,0.37,0.37,0.37,0.37
0.68,0.36,0.36,0.36,0.36
0.69,0.32,0.32,0.31,0.33
0.70,0.35,0.35,0.35,0.35
0.71,0.34,0.34,0.34,0.34
0.72,0.28,0.28,0.28,0.28
0.73,0.35,0.35,0.32,0.37
0.74,0.34,0.34,0.31,0.37
0.75,0.34,0.34,0.31,0.37
0.76,0.30,0.30,0.30,0.30
0.77,0.33,0.33,0.30,0.36
0.78,0.33,0.33,0.30,0.35
0.79,0.29,0.29,0.29,0.29
0.80,0.31,0.31,0.28,0.34
0.81,0.31,0.31,0.28,0.34
0.82,0.31,0.31,0.28,0.33
0.83,0.30,0.30,0.27,0.33
0.84,0.27,0.27,0.27,0.27
0.85,0.30,0.30,0.27,0.32
0.86,0.26,0.26,0.26,0.26
0.87,0.26,0.26,0.26,0.26
0.88,0.25,0.25,0.25,0.25
0.89,0.28,0.28,0.26,0.30
0.90,0.25,0.25,0.25,0.25
0.91,0.27,0.27,0.25,0.29
0.92,0.24,0.24,0.24,0.24
0.93,0.24,0.24,0.24,0.24
0.94,0.24,0.24,0.24,0.24
0.95,0.26,0.26,0.24,0.28
0.96,0.26,0.26,0.24,0.28
0.97,0.23,0.23,0.23,0.23
0.98,0.23,0.23,0.23,0.23
0.99,0.23,0.23,0.23,0.23
1.00,0.25,0.25,0.23,0.27
